date,new_cases_rolling_average,new_deaths_rolling_average,mortality
2020-02,3.4285714285714284,0.0,0.0
2020-03,23548.14285714286,10244.857142857143,0.43506008966433507
2020-04,172436.28571428574,15786.42857142857,0.0915493424486394
2020-05,42802.142857142855,3135.714285714286,0.07326068454516631
2020-06,14232.142857142857,583.7142857142857,0.0410138017565872
2020-07,18913.571428571428,199.57142857142858,0.010551757996903208
2020-08,113613.71428571429,1151.5714285714284,0.010135848790890434
2020-09,279909.5714285714,3230.0,0.011539441054177191
2020-10,339709.4285714286,5466.285714285714,0.016091062698120998
2020-11,550257.1428571428,9178.857142857143,0.016681032244664832
2020-12,268633.5714285714,5721.428571428572,0.02129826343372677
2021-01,589107.8571428572,11679.57142857143,0.01982586259367979
2021-02,652956.0,8781.0,0.013448073070773529
2021-03,170164.57142857142,2999.5714285714284,0.017627473235993393
2021-04,207899.42857142858,2292.0,0.0110245613263556
2021-05,208919.2857142857,1424.2857142857142,0.006817397012516795
2021-06,121233.0,605.2857142857143,0.004992747142161906
2021-07,408886.28571428574,1175.4285714285713,0.0028747077427045725
2021-08,598047.1428571428,3107.0,0.00519524261106984
2021-09,168178.2857142857,1579.142857142857,0.009389695289352795
2021-10,55026.0,591.2857142857143,0.010745569626825761
2021-11,78892.71428571429,690.2857142857143,0.00874967632354246
2021-12,459544.14285714284,2172.857142857143,0.004728288188698801
2022-01,3320656.714285714,6223.571428571428,0.0018741989805200754
2022-02,2003461.0,4542.714285714286,0.0022674333494459267
2022-03,543883.8571428572,1759.4285714285716,0.0032349343491664584
2022-04,377079.14285714284,1631.5714285714284,0.004326867341982774
2022-05,504400.5714285714,2217.857142857143,0.0043970155239429895
2022-06,362345.5714285714,2132.1428571428573,0.0058842801603362855
2022-07,577761.2857142857,3978.571428571429,0.006886185569967232
2022-08,176643.42857142858,1847.0,0.010456092337752243
2022-09,67119.14285714286,677.0,0.010086541203914574
2022-10,85627.28571428571,698.2857142857143,0.00815494393476045
2022-11,87702.28571428571,685.1428571428571,0.007812143680894454
2022-12,85550.42857142858,932.5714285714286,0.010900838770115537
2023-01,61393.57142857143,776.1428571428571,0.012642086770369163
2023-02,24631.714285714286,385.2857142857143,0.01564185544768069
2023-03,30929.85714285714,433.57142857142856,0.014017893020613462
2023-04,34554.28571428571,430.0,0.012444187200264595
2023-05,48639.142857142855,441.0,0.009066771618390833
2023-06,37222.42857142857,259.85714285714283,0.0069811979720368275
2023-07,2194.5714285714284,3.142857142857143,0.001432105194636115
